<<<<<<< Updated upstream
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
3.A.1.7.1	P0AAH0	NA	257.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.9.1	P16683	WP_012968865.1	208.0	1.82794e-41	38.0	294.0	259.0	75.0	282.0	58.0	259.0	70.4	77.6	5.0	6.0	4.0	ABC	CHEBI:34755;iron(3+)	PF00528	PF00528	NA	NA
3.A.1.9.1	P16683	WP_012968864.1	185.0	3.23575e-41	43.0	290.0	259.0	98.0	282.0	72.0	255.0	63.4	70.7	4.0	6.0	3.0	ABC	CHEBI:34755;iron(3+)	PF00528	PF00528	NA	NA
3.A.1.9.1	P16677	NA	262.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.9.1	P16682	NA	338.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80389	WP_002911454.1	185.0	1.86564e-27	35.0	203.0	192.0	1.0	185.0	1.0	177.0	90.6	91.7	1.0	1.0	0.0	DNA-T	None	PF01330,PF14520,PF07499	PF01330,PF14520,PF07499	NA	NA
3.A.11.1.5	AKM80915	NA	285.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80287	NA	140.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80716	NA	348.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80398	NA	485.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80724	NA	299.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80112	NA	676.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80721	NA	356.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80379	NA	350.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80619	NA	222.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80378	NA	409.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80623	NA	176.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80781	NA	646.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80661	NA	165.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80377	NA	593.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.1.5	AKM80720	NA	587.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.2.2	P44408	WP_072125344.1	665.0	3.32591e-103	33.0	754.0	788.0	129.0	748.0	133.0	784.0	82.1	82.6	11.0	13.0	7.0	DNA-T	CHEBI:75980;single-stranded DNA polynucleotide	PF03772,PF00753	PF03772,PF00753,PF13567	NA	NA
3.A.11.2.2	Q57134	NA	110.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.11.2.3	A1EMW4	WP_016160379.1	81.0	2.65748e-18	51.0	122.0	103.0	43.0	122.0	23.0	103.0	64.8	77.7	1.0	1.0	0.0	DNA-T	CHEBI:75980;single-stranded DNA polynucleotide	PF12836	PF12836,PF00633,PF03934	NA	NA
3.A.11.2.3	A6XWX0	NA	752.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.1.1	P15745	WP_012968919.1	404.0	0.0	78.0	404.0	381.0	1.0	404.0	1.0	381.0	99.8	99.7	3.0	3.0	3.0	MTB	CHEBI:36080;protein	PF00482,PF00482	PF00482,PF00482	NA	NA
3.A.15.1.1	P15750	WP_153690900.1	326.0	9.41694e-170	73.0	326.0	326.0	1.0	326.0	1.0	326.0	99.7	99.7	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF03934	PF03934	NA	NA
3.A.15.1.1	P15754	WP_023297075.1	221.0	9.21594e-108	69.0	266.0	228.0	4.0	224.0	8.0	225.0	82.7	95.2	6.0	5.0	5.0	MTB	CHEBI:36080;protein	PF06750,PF01478	PF06750,PF01478	NA	NA
3.A.15.1.1	P15643	WP_016160314.1	281.0	7.30722e-100	59.0	280.0	285.0	4.0	280.0	10.0	285.0	98.6	96.5	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF11356	PF11356	NA	NA
3.A.15.1.1	P15749	WP_023297079.1	198.0	2.50483e-97	72.0	198.0	198.0	1.0	198.0	1.0	198.0	99.5	99.5	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF11612,PF07963	PF11612,PF07963	NA	NA
3.A.15.1.1	P15746	WP_002889054.1	140.0	8.86872e-95	90.0	140.0	140.0	1.0	140.0	1.0	140.0	99.3	99.3	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF08334,PF07963	PF08334,PF07963	NA	NA
3.A.15.1.1	P15753	WP_023297076.1	252.0	8.95741e-80	49.0	248.0	252.0	1.0	248.0	1.0	252.0	99.6	99.6	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF01203	PF01203	NA	NA
3.A.15.1.1	P15747	WP_008807378.1	164.0	1.1929400000000002e-70	61.0	171.0	170.0	1.0	164.0	1.0	164.0	95.3	95.9	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF07963	PF07963	NA	NA
3.A.15.1.1	P15748	WP_004894160.1	121.0	7.43586e-69	82.0	121.0	121.0	1.0	121.0	1.0	121.0	99.2	99.2	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF02501,PF07963	PF02501,PF07963	NA	NA
3.A.15.1.1	P15752	WP_012968921.1	160.0	1.20764e-63	57.0	161.0	161.0	1.0	160.0	1.0	160.0	98.8	98.8	1.0	1.0	1.0	MTB	CHEBI:36080;protein	PF04612	PF04612	NA	NA
3.A.15.1.1	P15645	NA	497.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.1.1	P15751	NA	398.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	P22609	WP_023297068.1	368.0	8.126260000000002e-53	27.0	401.0	374.0	35.0	397.0	7.0	374.0	90.3	98.1	5.0	4.0	4.0	MTB	None	PF00482,PF00482	PF00482,PF00482	NA	NA
3.A.15.2.1	P22610	WP_008807047.1	147.0	3.3987e-30	41.0	161.0	290.0	3.0	149.0	132.0	270.0	90.7	47.6	3.0	6.0	3.0	MTB	None	PF01478	PF06750,PF01478	NA	NA
3.A.15.2.1	P24559	NA	344.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	P22608	NA	566.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	Q59652	NA	168.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	Q60148	NA	141.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	P04739	NA	149.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	Q51528	NA	169.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.15.2.1	Q51532	NA	382.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.1	P0ABB4	WP_008806723.1	460.0	0.0	98.0	460.0	460.0	1.0	460.0	1.0	460.0	99.8	99.8	1.0	1.0	1.0	F-ATPase	CHEBI:5584;hydron	PF00006,PF02874	PF00006,PF02874	NA	NA
3.A.2.1.1	P0AB98	WP_012969241.1	271.0	0.0	92.0	271.0	271.0	1.0	271.0	1.0	271.0	99.6	99.6	6.0	6.0	6.0	F-ATPase	CHEBI:5584;hydron	PF00119	PF00119	NA	NA
3.A.2.1.1	P0ABA0	WP_004107293.1	156.0	4.52514e-98	95.0	156.0	156.0	1.0	156.0	1.0	156.0	99.4	99.4	1.0	1.0	1.0	F-ATPase	CHEBI:5584;hydron	PF00430	PF00430	NA	NA
3.A.2.1.1	P68699	WP_000429386.1	79.0	1.1968999999999998e-50	100.0	79.0	79.0	1.0	79.0	1.0	79.0	98.7	98.7	2.0	2.0	2.0	F-ATPase	CHEBI:5584;hydron	PF00137	PF00137	NA	NA
3.A.2.1.1	P0ABA4	NA	177.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.1	P0A6E6	NA	139.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.1	P0ABB0	NA	513.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.1	P0ABA6	NA	287.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN50	WP_100781375.1	213.0	2.83808e-05	24.0	229.0	257.0	6.0	212.0	32.0	234.0	90.0	78.6	2.0	2.0	2.0	T6SS	CHEBI:8526;protein polypeptide chain, CHEBI:4291;deoxyribonucleic acid	PF09850	PF09850	NA	NA
3.A.23.1.1	Q9KN48	NA	530.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN53	NA	495.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN51	NA	444.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN54	NA	338.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	A1F9V7	NA	197.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN47	NA	227.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN55	NA	589.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN52	NA	158.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN44	NA	421.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	B2D7K2	NA	1017.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN45	NA	1181.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN46	NA	469.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.1.1	Q9KN49	NA	869.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RIP9	WP_153690807.1	763.0	1.0582399999999998e-49	24.0	1111.0	1252.0	351.0	1061.0	423.0	1170.0	63.9	59.7	3.0	4.0	0.0	T6SS	CHEBI:8526;protein polypeptide chain, CHEBI:4291;deoxyribonucleic acid	PF06761,PF06744	PF06761,PF14331,PF06744	NA	NA
3.A.23.4.1	R9RIP9	WP_086070946.1	747.0	1.27167e-41	21.0	1141.0	1252.0	368.0	1069.0	421.0	1157.0	61.4	58.8	3.0	4.0	1.0	T6SS	CHEBI:8526;protein polypeptide chain, CHEBI:4291;deoxyribonucleic acid	PF06761,PF06744	PF06761,PF14331,PF06744	NA	NA
3.A.23.4.1	R9RHK3	WP_004181140.1	217.0	6.8579e-17	27.0	221.0	268.0	7.0	218.0	33.0	249.0	95.5	80.6	1.0	1.0	1.0	T6SS	CHEBI:8526;protein polypeptide chain, CHEBI:4291;deoxyribonucleic acid	PF09850	PF09850	NA	NA
3.A.23.4.1	R9RHJ4	NA	603.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RHI9	NA	454.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RFN4	NA	493.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RHI3	NA	158.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RFN6	NA	894.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RIP4	NA	167.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RIQ1	NA	364.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RIP0	NA	332.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.23.4.1	R9RIN9	NA	167.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	Q8ID54	WP_012541141.1	229.0	1.5334e-37	36.0	391.0	584.0	20.0	244.0	87.0	314.0	57.3	38.9	1.0	3.0	1.0	SELMA	CHEBI:16670;peptide	PF00899,PF00581	PF00899	NA	NA
3.A.25.2.1	Q8ID54	WP_008807997.1	212.0	2.03029e-30	36.0	251.0	584.0	8.0	212.0	89.0	297.0	81.3	35.6	2.0	3.0	1.0	SELMA	CHEBI:16670;peptide	PF00899	PF00899	NA	NA
3.A.25.2.1	Q8ID54	WP_008805794.1	233.0	2.20002e-28	30.0	251.0	584.0	7.0	231.0	83.0	312.0	89.2	39.2	1.0	3.0	1.0	SELMA	CHEBI:16670;peptide	PF00899	PF00899	NA	NA
3.A.25.2.1	Q8IDP1	NA	278.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	P46468	NA	1229.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	C0H540	NA	296.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	Q8IDZ6	NA	1838.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	C0H4U7	NA	373.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	O97275	NA	1816.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.25.2.1	Q8IKV3	NA	354.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA
3.A.3.7.1	P03960	WP_008805672.1	682.0	0.0	90.0	682.0	682.0	1.0	682.0	1.0	682.0	99.9	99.9	7.0	7.0	7.0	P-ATPase	CHEBI:8345;potassium(1+)	PF00702,PF00122,PF08282	PF00702,PF00122,PF08282	NA	NA
3.A.3.7.1	P03959	WP_100781412.1	557.0	0.0	80.0	559.0	557.0	1.0	557.0	1.0	557.0	99.5	99.8	12.0	12.0	12.0	P-ATPase	CHEBI:8345;potassium(1+)	PF03814	PF03814	NA	NA
3.A.3.7.1	P03961	WP_012968689.1	190.0	5.08919e-91	70.0	191.0	190.0	1.0	190.0	1.0	190.0	99.0	99.5	1.0	1.0	1.0	P-ATPase	CHEBI:8345;potassium(1+)	PF02669	PF02669	NA	NA
3.A.3.7.1	P36937	NA	29.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.4.1.1	P0AB93	WP_048965128.1	427.0	0.0	86.0	430.0	429.0	1.0	427.0	1.0	427.0	99.1	99.3	12.0	13.0	12.0	ArsAB	CHEBI:75861;arsenopyrite	PF02040,PF03600	PF02040,PF03600	NA	NA
3.A.4.1.1	P08690	NA	583.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.1	P0AGA2	WP_008807050.1	443.0	0.0	98.0	443.0	443.0	1.0	443.0	1.0	443.0	99.8	99.8	10.0	10.0	10.0	Sec	CHEBI:8526;protein polypeptide chain	PF00344	PF00344	NA	NA
3.A.5.1.1	P0ADY1	WP_012968827.1	623.0	0.0	79.0	624.0	623.0	1.0	623.0	1.0	623.0	99.7	99.8	1.0	1.0	1.0	Sec	CHEBI:8526;protein polypeptide chain	PF13624,PF13623,PF13145,PF13616,PF00639,PF09312	PF13624,PF13623,PF13145,PF00639,PF13616	NA	NA
3.A.5.1.1	P76576	WP_004201892.1	206.0	4.44059e-111	75.0	206.0	206.0	1.0	206.0	1.0	206.0	99.5	99.5	1.0	1.0	1.0	Sec	CHEBI:8526;protein polypeptide chain	PF09976	PF09976	NA	NA
3.A.5.1.1	P0AG96	WP_002883772.1	127.0	6.00935e-80	94.0	127.0	127.0	1.0	127.0	1.0	127.0	99.2	99.2	3.0	3.0	3.0	Sec	CHEBI:8526;protein polypeptide chain	PF00584	PF00584	NA	NA
3.A.5.1.1	P0ADZ7	WP_002890398.1	110.0	4.91361e-71	97.0	110.0	110.0	1.0	110.0	1.0	110.0	99.1	99.1	1.0	1.0	1.0	Sec	CHEBI:8526;protein polypeptide chain	PF02699	PF02699	NA	NA
3.A.5.1.1	P0AG99	WP_002918369.1	110.0	1.4612499999999998e-65	89.0	109.0	110.0	1.0	109.0	1.0	110.0	99.1	99.1	3.0	3.0	3.0	Sec	CHEBI:8526;protein polypeptide chain	PF03840	PF03840	NA	NA
3.A.5.1.1	P0ADY1	WP_008807472.1	273.0	2.25406e-09	24.0	428.0	623.0	65.0	274.0	86.0	357.0	48.8	43.5	1.0	1.0	0.0	Sec	CHEBI:8526;protein polypeptide chain	PF00639,PF00639,PF13616,PF13616,PF09312,PF13145,PF13145,PF13624,PF13623	PF13624,PF13623,PF13145,PF00639,PF13616	NA	NA
3.A.5.1.1	P0AAQ6	NA	117.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.1	P10408	NA	901.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.1	P10121	NA	497.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.5.1.1	P0AGD7	NA	453.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPC8	WP_153690874.1	666.0	0.0	47.0	672.0	820.0	1.0	664.0	1.0	657.0	98.7	80.0	2.0	2.0	1.0	IVSP	CHEBI:4291;deoxyribonucleic acid	PF12696,PF10412	PF12696	NA	NA
3.A.7.11.1	Q5EPC7	NA	850.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5K698	NA	239.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPC0	NA	244.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EP68	NA	295.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB7	NA	193.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB6	NA	858.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPA9	NA	527.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB9	NA	437.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB1	NA	250.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB2	NA	372.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPA5	NA	972.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPC1	NA	216.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB3	NA	218.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q93NF2	NA	501.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	O30554	NA	181.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPB4	NA	177.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPC2	NA	93.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPC3	NA	83.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.11.1	Q5EPA7	NA	263.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ18	WP_004201653.1	108.0	8.46511e-15	38.0	189.0	368.0	83.0	180.0	254.0	360.0	51.3	28.8	1.0	1.0	0.0	IVSP	CHEBI:8526;protein polypeptide chain	PF00877	PF13702,PF00877,PF05382	NA	NA
3.A.7.13.2	E9RJ02	NA	245.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ00	NA	402.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ12	NA	786.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ16	NA	631.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ23	NA	410.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ17	NA	208.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ13	NA	939.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ19	NA	269.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ11	NA	363.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ01	NA	267.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.13.2	E9RJ10	NA	485.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.14.2	Q15HU6	WP_012968037.1	136.0	2.2141e-15	37.0	290.0	334.0	156.0	284.0	204.0	333.0	44.1	38.6	1.0	1.0	0.0	IVSP	CHEBI:4291;deoxyribonucleic acid	PF00877	PF00877,PF01832	NA	NA
3.A.7.14.2	Q15HU4	WP_096834444.1	90.0	2.80109e-12	37.0	196.0	164.0	40.0	129.0	34.0	116.0	45.4	50.0	4.0	4.0	2.0	IVSP	CHEBI:4291;deoxyribonucleic acid	PF04307	PF04307	NA	NA
3.A.7.14.2	Q15HU5	NA	831.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.14.2	Q15HV1	NA	359.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.7.14.2	Q15HU9	NA	125.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
