Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components	Initial_decision
2.A.22.5.3	Q9KDT3	WP_013264583.1	451.0	9.69383e-122	41.0	453.0	453.0	6.0	453.0	9.0	451.0	98.7	97.6	11.0	11.0	11.0	NSS	CHEBI:49766;sodium(1+), CHEBI:25512;neurotransmitter	PF00209,PF00209	PF00209,PF00209	NA	NA	Green
2.A.23.2.1	P24942	WP_013264651.1	358.0	3.63011e-22	26.0	395.0	543.0	53.0	374.0	135.0	487.0	81.3	64.8	10.0	10.0	7.0	DAACS	CHEBI:9175;sodium(1+), CHEBI:8345;potassium(1+), CHEBI:5584;hydron, CHEBI:29987;glutamate(2-), CHEBI:29995;aspartate(2-)	PF00375	PF00375	NA	NA	green
2.A.25.1.5	Q45068	WP_013264076.1	438.0	4.90503e-110	40.0	450.0	465.0	11.0	447.0	13.0	438.0	96.9	91.4	11.0	11.0	11.0	AGCS	CHEBI:2539;alanine	PF01235	PF01235	NA	NA	Green
2.A.25.1.5	Q45068	WP_013265336.1	467.0	1.41531e-148	47.0	474.0	465.0	8.0	474.0	2.0	458.0	98.3	98.1	11.0	11.0	11.0	AGCS	CHEBI:2539;alanine	PF01235	PF01235	NA	NA	Green
2.A.33.1.1	P13738	WP_013265600.1	417.0	8.02101e-95	41.0	441.0	388.0	20.0	433.0	7.0	377.0	93.7	95.4	12.0	10.0	10.0	NhaA	CHEBI:9175;sodium(1+), CHEBI:24636;proton	PF06965	PF06965	NA	NA	green
2.A.33.1.2	Q56725	WP_013264769.1	423.0	4.32685e-90	39.0	441.0	383.0	20.0	439.0	8.0	376.0	95.0	96.1	12.0	10.0	10.0	NhaA	CHEBI:9175;sodium(1+), CHEBI:8345;potassium(1+), CHEBI:5584;hydron	PF06965	PF06965	NA	NA	green
2.A.35.1.8	Q8A897	WP_013265309.1	418.0	0.0	67.0	427.0	433.0	10.0	427.0	16.0	433.0	97.7	96.3	11.0	12.0	11.0	NhaC	CHEBI:6271;L-methionine	PF03553,PF03553	PF03553,PF03553	NA	NA	green
2.A.36.3.2	O32212	WP_174254487.1	419.0	1.19999e-64	33.0	534.0	670.0	7.0	414.0	3.0	412.0	76.2	61.0	13.0	12.0	12.0	CPA1	CHEBI:30143;lithium(1+), CHEBI:9175;sodium(1+), CHEBI:8345;potassium(1+), CHEBI:49847;rubidium(1+), CHEBI:5584;hydron	PF00999	PF00999	NA	NA	Green
2.A.37.2.5	B3EE21	WP_044045908.1	685.0	1.24886e-143	35.0	705.0	732.0	9.0	684.0	12.0	692.0	95.7	92.9	12.0	13.0	12.0	CPA2	CHEBI:9175;sodium(1+), CHEBI:5584;hydron	PF00999	PF00999	NA	NA	green
2.A.38.1.3	Q6T3V7	WP_013263904.1	485.0	4.58182e-110	37.0	485.0	482.0	2.0	484.0	1.0	482.0	99.4	99.8	10.0	10.0	10.0	Trk	CHEBI:8345;potassium(1+)	PF02386	PF02386	NA	NA	green
2.A.40.1.4	P39766	WP_013265559.1	414.0	3.8842299999999996e-112	44.0	406.0	435.0	7.0	403.0	15.0	428.0	97.5	94.9	14.0	12.0	12.0	NAT/NCS2	CHEBI:9882;uracil	PF00860	PF00860	NA	NA	Green
2.A.40.4.2	P0AGM9	WP_013263970.1	439.0	3.31216e-147	49.0	447.0	463.0	3.0	440.0	18.0	455.0	97.8	94.4	14.0	12.0	12.0	NAT/NCS2	CHEBI:10059;9H-xanthine	PF00860	PF00860	NA	NA	green
2.A.40.7.8	NLW40898	WP_013264136.1	429.0	2.77849e-149	49.0	433.0	429.0	4.0	431.0	1.0	427.0	98.6	99.3	13.0	13.0	13.0	NAT/NCS2	None	PF00860	PF00860	NA	NA	green
2.A.47.1.1	Q2FMC1	WP_013265348.1	512.0	1.91468e-54	29.0	488.0	502.0	15.0	481.0	1.0	484.0	95.5	96.2	12.0	14.0	12.0	DASS	CHEBI:22563;anion	PF00939,PF03600	PF00939,PF03600	NA	NA	green
2.A.49.6.1	P74477	WP_013264000.1	556.0	2.40443e-39	24.0	598.0	899.0	31.0	581.0	33.0	563.0	92.0	59.0	11.0	11.0	11.0	ClC	CHEBI:3731;chloride	PF00654,PF00571	PF00654,PF00571,PF00571,PF00582	NA	NA	green
2.A.50.2.3	WP_010855398	WP_004359476.1	479.0	2.51037e-78	32.0	505.0	461.0	35.0	505.0	1.0	461.0	93.1	99.8	13.0	12.0	11.0	MBOAT	None	PF03062	PF03062	NA	NA	green
2.A.50.2.3	WP_010855398	WP_044045833.1	334.0	1.15694e-75	39.0	493.0	461.0	112.0	439.0	90.0	414.0	66.3	70.3	11.0	12.0	6.0	MBOAT	None	PF03062	PF03062	NA	NA	Green
2.A.51.1.6	Q73LW8	WP_013264455.1	169.0	2.91121e-35	36.0	197.0	195.0	21.0	189.0	10.0	178.0	85.3	86.2	5.0	5.0	4.0	CHR	CHEBI:29393;chromate(2-)	PF02417	PF02417	NA	NA	green
2.A.51.1.6	Q73LW9	WP_013263809.1	200.0	1.7921999999999998e-26	32.0	191.0	187.0	1.0	190.0	1.0	187.0	99.0	99.5	5.0	5.0	5.0	CHR	CHEBI:29393;chromate(2-)	PF02417	PF02417	NA	NA	Green
2.A.55.2.6	Q89K67	WP_013265144.1	414.0	2.9444e-68	35.0	420.0	450.0	22.0	419.0	44.0	448.0	94.5	89.8	11.0	11.0	11.0	Nramp	CHEBI:29035;manganese(2+)	PF01566	PF01566	NA	NA	Green
2.A.58.2.2	M7AKZ4	WP_013264239.1	570.0	1.94769e-76	31.0	569.0	539.0	1.0	564.0	1.0	539.0	98.9	99.8	11.0	8.0	8.0	PNaS	CHEBI:9175;sodium(1+), CHEBI:7793;phosphate(3-)	PF02690,PF02690,PF01895	PF02690,PF02690,PF01895,PF01895	NA	NA	green
2.A.59.1.5	A6TP80	WP_013265095.1	341.0	7.48845e-180	71.0	348.0	357.0	5.0	345.0	11.0	351.0	97.7	95.2	10.0	10.0	10.0	ACR3	CHEBI:2846;arsenite(3-)	PF01758,PF13593	PF01758,PF13593	NA	['A6TP83', 'A6TP82']	Yellow
2.A.59.1.5	A6TP82	NA	295.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
2.A.59.1.5	A6TP83	NA	296.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
2.A.62.1.3	A5PGV3	WP_013264208.1	444.0	8.4624e-108	42.0	461.0	582.0	6.0	449.0	146.0	558.0	96.1	70.8	13.0	11.0	10.0	NhaD	CHEBI:9175;sodium(1+), CHEBI:5584;hydron	PF03600	PF03600	NA	NA	green
2.A.66.1.3	P37340	WP_013264802.1	436.0	6.03149e-56	28.0	452.0	457.0	7.0	434.0	3.0	435.0	94.5	94.5	12.0	12.0	12.0	MOP	CHEBI:23614;deoxycholate, CHEBI:4796;enoxacin, CHEBI:7629;norfloxacin, CHEBI:9731;trimethoprim, CHEBI:28915;fosfomycin, CHEBI:3603;chloramphenicol, CHEBI:2496;doxorubicin, CHEBI:42478;ethidium	PF01554,PF01554,PF14667	PF01554,PF01554,PF14667	NA	NA	green
2.A.66.1.28	Q9WZS2	WP_044045997.1	441.0	4.7377e-34	26.0	471.0	464.0	30.0	464.0	22.0	445.0	92.1	91.2	12.0	12.0	12.0	MOP	CHEBI:23888;drug	PF01554,PF01554	PF01554,PF01554,PF14667	NA	NA	green
2.A.66.1.32	Q9KAX3	WP_013264942.1	425.0	5.48055e-68	35.0	454.0	464.0	22.0	441.0	21.0	442.0	92.3	90.7	12.0	12.0	12.0	MOP	CHEBI:5584;hydron, CHEBI:23888;drug	PF01554,PF01554,PF14667	PF01554,PF01554,PF14667	NA	NA	Green
2.A.66.1.32	Q9KAX3	WP_013265400.1	427.0	3.56455e-69	31.0	441.0	464.0	13.0	434.0	15.0	439.0	95.5	91.4	12.0	12.0	12.0	MOP	CHEBI:5584;hydron, CHEBI:23888;drug	PF01554,PF01554,PF14667	PF01554,PF01554,PF14667	NA	NA	Green
2.A.66.1.32	Q9KAX3	WP_013265659.1	438.0	1.51645e-88	34.0	457.0	464.0	1.0	438.0	1.0	438.0	95.6	94.2	12.0	12.0	12.0	MOP	CHEBI:5584;hydron, CHEBI:23888;drug	PF01554,PF01554,PF14667	PF01554,PF01554,PF14667	NA	NA	green
2.A.66.1.33	I6L8P4	WP_052299130.1	417.0	5.93228e-77	32.0	441.0	456.0	9.0	425.0	17.0	433.0	94.3	91.2	12.0	12.0	12.0	MOP	CHEBI:6440;levofloxacin, CHEBI:3717;ciprofloxacin, CHEBI:7007;moxifloxacin	PF01554,PF01554,PF14667	PF01554,PF01554,PF14667,PF14667	NA	NA	green
2.A.66.1.36	Q8XT32	WP_013264364.1	431.0	1.41046e-81	35.0	450.0	457.0	7.0	436.0	17.0	435.0	95.3	91.5	12.0	12.0	12.0	MOP	CHEBI:23888;drug	PF01554,PF01554,PF14667	PF01554,PF01554	NA	NA	green
2.A.66.2.6	O32273	WP_013264282.1	479.0	1.40768e-43	23.0	480.0	483.0	5.0	472.0	3.0	477.0	97.3	98.1	14.0	14.0	14.0	MOP	CHEBI:64626;teichuronic acid	PF13440,PF01943	PF01943,PF13440,PF14667	NA	NA	green
2.A.66.2.20	F8KUW5	WP_013263834.1	484.0	9.18438e-13	19.0	483.0	490.0	3.0	468.0	2.0	455.0	96.3	92.4	14.0	14.0	14.0	MOP	CHEBI:8322;polysaccharide	PF13440,PF14667	PF01943,PF14667	NA	NA	green
2.A.66.2.32	KKW01119	WP_013264399.1	288.0	8.1487e-06	22.0	508.0	433.0	9.0	286.0	18.0	282.0	54.5	61.0	14.0	12.0	7.0	MOP	CHEBI:8322;polysaccharide	PF01943	PF01943,PF13440	NA	NA	green
2.A.66.12.7	O26442	WP_013265609.1	480.0	3.58165e-10	21.0	501.0	477.0	13.0	472.0	7.0	457.0	91.6	94.3	14.0	14.0	13.0	MOP	None	PF01943,PF13440	PF01943,PF13440,PF14667,PF03023	NA	NA	green
2.A.66.12.9	SIM61939	WP_052299138.1	428.0	4.53286e-15	19.0	437.0	516.0	20.0	421.0	10.0	415.0	91.8	78.5	12.0	15.0	10.0	MOP	None	PF01943,PF13440	PF13440,PF14667,PF01943,PF01554	NA	NA	green
2.A.67.4.2	O58099	WP_013265590.1	658.0	8.244429999999999e-101	31.0	664.0	626.0	24.0	658.0	2.0	626.0	95.5	99.7	15.0	17.0	14.0	OPT	CHEBI:7755;oligopeptide	PF03169	PF03169	NA	NA	green
2.A.69.3.6	Q98L58	WP_013264477.1	275.0	8.0149e-09	25.0	311.0	316.0	6.0	260.0	8.0	269.0	81.7	82.6	10.0	10.0	9.0	AEC	CHEBI:38083;malonate ester	PF03547	PF03547,PF03547	NA	NA	green
2.A.72.1.3	Q9CHU5	WP_013263900.1	671.0	0.0	43.0	664.0	670.0	8.0	662.0	5.0	668.0	98.5	99.0	13.0	11.0	11.0	KUP	CHEBI:8345;potassium(1+)	PF02705	PF02705	NA	NA	green
2.A.76.1.6	Q3J2V9	WP_013264383.1	158.0	1.92788e-19	32.0	228.0	202.0	15.0	172.0	5.0	159.0	68.9	76.2	6.0	6.0	5.0	RhtB	CHEBI:2642;alpha-amino acid	PF01810	PF01810	NA	NA	green
2.A.81.1.2	Q5LCC7	WP_013263802.1	546.0	6.41623e-144	42.0	553.0	562.0	16.0	550.0	22.0	559.0	96.6	95.6	13.0	11.0	11.0	AAE	CHEBI:23337;cobalt(2+)	PF06826,PF06826,PF02080,PF02080	PF06826,PF06826,PF02080,PF02080	NA	NA	Green
2.A.81.1.2	Q5LCC7	WP_013265781.1	552.0	5.95606e-170	47.0	566.0	562.0	16.0	561.0	19.0	559.0	96.3	96.1	11.0	11.0	11.0	AAE	CHEBI:23337;cobalt(2+)	PF06826,PF06826,PF02080	PF06826,PF06826,PF02080,PF02080	NA	NA	green
2.A.86.1.11	F8FLY5	WP_013263952.1	335.0	5.38137e-34	29.0	374.0	357.0	11.0	337.0	22.0	334.0	87.2	87.4	8.0	7.0	6.0	AI-2E	None	PF01594	PF01594	NA	NA	green
2.A.88.8.1	D3QD12	WP_013263994.1	175.0	2.56628e-21	28.0	230.0	234.0	24.0	197.0	39.0	213.0	75.2	74.4	5.0	7.0	4.0	VUT	CHEBI:64299;queuosine residue	PF02592	PF02592	NA	NA	Green
2.A.98.1.3	P62723	WP_013264262.1	335.0	1.36049e-86	44.0	348.0	349.0	3.0	333.0	6.0	337.0	94.8	94.8	11.0	10.0	10.0	PSE	None	PF03601	PF03601	NA	NA	Green
2.A.103.1.3	P07373	WP_013264404.1	412.0	3.287e-33	26.0	428.0	366.0	13.0	411.0	9.0	365.0	93.0	97.3	8.0	10.0	7.0	MPE	CHEBI:61496;alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)	PF01098,PF01098	PF01098	NA	NA	Green
2.A.103.1.10	WP_076734059	WP_013264501.1	476.0	6.05958e-90	36.0	491.0	424.0	18.0	486.0	11.0	420.0	95.3	96.5	13.0	10.0	10.0	MPE	None	PF01098,PF01098	PF01098,PF01098	NA	NA	green
2.A.115.1.2	P94357	WP_013264043.1	289.0	8.582350000000002e-30	27.0	328.0	278.0	14.0	301.0	7.0	276.0	87.5	96.8	5.0	5.0	5.0	NbcE	None	PF02588,PF10035	PF02588,PF10035	NA	NA	Green
2.A.115.1.2	P94357	WP_013264573.1	287.0	5.79914e-38	32.0	311.0	278.0	12.0	288.0	3.0	273.0	88.7	97.1	5.0	5.0	5.0	NbcE	None	PF02588,PF10035	PF02588,PF10035	NA	NA	Green
2.A.115.1.2	P94357	WP_044046111.1	278.0	1.2833e-38	28.0	305.0	278.0	12.0	285.0	1.0	273.0	89.5	97.8	5.0	5.0	4.0	NbcE	None	PF02588,PF10035	PF02588,PF10035	NA	NA	Green
2.A.122.1.1	C6EAH0	WP_013264487.1	231.0	6.56309e-54	42.0	249.0	231.0	21.0	247.0	1.0	231.0	90.8	99.6	8.0	5.0	5.0	LrgB/CidB	CHEBI:16510;3-hydroxypropionate	PF04172	PF04172	NA	NA	green
2.A.127.1.5	W8EY14	WP_013263885.1	506.0	8.39335e-12	21.0	660.0	619.0	43.0	541.0	42.0	485.0	75.5	71.6	5.0	5.0	4.0	CLT	None	PF00884	PF00884	NA	NA	green
2.A.129.1.7	T1YCA9	WP_013264756.1	114.0	3.71206e-12	30.0	138.0	128.0	19.0	129.0	10.0	123.0	79.7	88.3	4.0	4.0	4.0	LST	None	PF04138	PF04138	NA	NA	Green
2.A.129.1.7	T1YCA9	WP_174254472.1	116.0	8.60251e-15	34.0	129.0	128.0	14.0	126.0	9.0	124.0	86.8	89.8	4.0	4.0	4.0	LST	None	PF04138	PF04138	NA	NA	Green
2.A.131.1.5	WP_123898938	WP_013265166.1	235.0	2.8949800000000004e-76	51.0	235.0	236.0	1.0	233.0	1.0	231.0	98.7	97.5	6.0	6.0	6.0	ABCDE	None	PF13386,PF02683	PF13386,PF02683	NA	NA	green
2.A.133.1.10	L7WG79	WP_013264184.1	243.0	4.37897e-26	30.0	241.0	240.0	1.0	237.0	1.0	237.0	97.9	98.3	3.0	3.0	3.0	RDD	None	PF06271	PF06271	NA	NA	green
2.C.1.4.2	E2N6X0	WP_013263863.1	300.0	5.40431e-54	36.0	293.0	271.0	1.0	293.0	1.0	271.0	99.7	99.6	1.0	1.0	1.0	TonB/TolA	None	PF03544	PF03544	NA	NA	green
2.C.1.4.2	E2N6X0	WP_013264378.1	107.0	5.49051e-29	48.0	219.0	271.0	116.0	219.0	165.0	271.0	47.0	39.1	0.0	1.0	0.0	TonB/TolA	None	PF03544	PF03544	NA	NA	Green
2.C.1.4.3	A7LS59	WP_013264064.1	103.0	1.88851e-18	44.0	160.0	320.0	62.0	159.0	218.0	319.0	60.6	31.6	0.0	2.0	0.0	TonB/TolA	None	PF03544	PF03544	NA	NA	Green
2.C.1.4.3	A7LS59	WP_013264193.1	169.0	2.48385e-09	24.0	309.0	320.0	141.0	309.0	177.0	318.0	54.4	44.1	1.0	2.0	0.0	TonB/TolA	None	PF00578,PF08534,PF13905,PF00085	PF03544	NA	NA	Green
2.C.1.4.3	A7LS59	WP_013265112.1	264.0	1.62107e-31	28.0	265.0	320.0	1.0	264.0	94.0	319.0	99.2	70.3	1.0	2.0	1.0	TonB/TolA	None	PF03544	PF03544	NA	NA	green
2.C.1.4.3	A7LS59	WP_081439532.1	57.0	5.49858e-15	54.0	80.0	320.0	4.0	60.0	242.0	298.0	70.0	17.5	0.0	2.0	0.0	TonB/TolA	None	PF03544	PF03544	NA	NA	Green
3.A.1.5.19	Q2FZR3	NA	551.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.5.19	Q2FZR4	NA	313.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.5.19	Q2FZR5	WP_013264436.1	148.0	7.10936e-06	27.0	272.0	360.0	112.0	257.0	97.0	222.0	53.3	34.7	0.0	0.0	0.0	ABC	CHEBI:7755;oligopeptide	PF13304,PF13175,PF00005	PF00005,PF08352	NA	['Q2FZR3', 'Q2FZR7', 'Q2FZR4', 'Q2FZR6']	Green
3.A.1.5.19	Q2FZR6	NA	356.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.5.19	Q2FZR7	NA	308.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.7.5	O51233	WP_036886365.1	273.0	2.92744e-09	22.0	321.0	279.0	41.0	305.0	28.0	275.0	82.2	88.5	1.0	0.0	0.0	ABC	CHEBI:7793;phosphate(3-)	PF12849	PF12849,PF12727,PF01547	NA	['O51235', 'O51236', 'O51234']	Yellow
3.A.1.7.5	O51234	NA	302.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.7.5	O51235	NA	478.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.7.5	O51236	NA	260.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.12.4	O32243	NA	303.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.12.4	O34742	NA	229.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.12.4	O34878	NA	217.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.12.4	O34992	WP_013265013.1	179.0	1.88619e-08	25.0	494.0	380.0	38.0	201.0	180.0	357.0	33.0	46.6	0.0	0.0	0.0	ABC	CHEBI:17237;(E)-4-(trimethylammonio)but-2-enoate, CHEBI:16244;4-(trimethylammonio)butanoate, CHEBI:26272;L-proline betaine, CHEBI:3665;choline, CHEBI:3424;carnitinium, CHEBI:3073;glycine betaine, CHEBI:4756;ectoine, CHEBI:16457;S,S-dimethyl-beta-propiothetin, CHEBI:4623;(carboxymethyl)(dimethyl)sulfonium	PF00478,PF00571,PF00571	PF00005,PF00571,PF00571	NA	['O34878', 'O34742', 'O32243']	Green
3.A.1.13.2	A9WCZ4	WP_044046173.1	349.0	8.72528e-39	28.0	376.0	435.0	35.0	374.0	87.0	433.0	90.2	79.5	0.0	1.0	0.0	ABC	CHEBI:30411;cobalamin	PF01497	PF01497	NA	NA	Green
3.A.1.13.2	A9WCZ6	WP_013265502.1	333.0	1.11778e-93	46.0	336.0	362.0	6.0	335.0	24.0	355.0	97.9	91.4	9.0	9.0	9.0	ABC	CHEBI:30411;cobalamin	PF01032	PF01032	NA	NA	green
3.A.1.13.2	A9WCZ7	WP_013264425.1	233.0	4.60575e-60	43.0	236.0	358.0	2.0	229.0	5.0	237.0	96.2	64.8	0.0	0.0	0.0	ABC	CHEBI:30411;cobalamin	PF00005	PF00005	NA	NA	Green
3.A.1.27.1	A4PCH7	WP_004361547.1	233.0	2.8539700000000003e-28	29.0	248.0	316.0	10.0	242.0	76.0	305.0	93.5	72.5	6.0	6.0	6.0	ABC	CHEBI:10567;gamma-hexachlorocyclohexane	PF02405	PF02405	NA	['A4PCI0', 'A4PCH8', 'A4PCH9']	Yellow
3.A.1.27.1	A4PCH8	NA	282.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.27.1	A4PCH9	NA	320.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.27.1	A4PCI0	NA	202.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.105.28	O26020	WP_013263983.1	348.0	1.22177e-29	23.0	431.0	376.0	33.0	377.0	9.0	344.0	79.8	89.1	6.0	7.0	5.0	ABC	None	PF12698,PF01061	PF12698,PF01061	NA	['O26022']	Yellow
3.A.1.105.28	O26021	WP_013264476.1	324.0	1.9000900000000006e-18	23.0	393.0	365.0	27.0	348.0	15.0	320.0	81.7	83.6	6.0	6.0	5.0	ABC	None	PF12698	PF12698	NA	['O26022']	Yellow
3.A.1.105.28	O26022	NA	510.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.105.28	P94851	WP_013264712.1	301.0	8.12715e-66	39.0	328.0	329.0	26.0	326.0	25.0	325.0	91.5	91.2	1.0	1.0	0.0	ABC	None	PF13437,PF16576,PF13533	PF16576,PF13533	NA	['O26022']	Yellow
3.A.1.106.2	Q2G2M9	WP_013264243.1	613.0	3.05959e-111	36.0	619.0	578.0	10.0	619.0	7.0	578.0	98.4	98.8	7.0	5.0	5.0	ABC	CHEBI:9502;tetraphenylphosphonium, CHEBI:9948;verapamil, CHEBI:5742;2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole, CHEBI:9983;vincaleukoblastine, CHEBI:2496;doxorubicin, CHEBI:42478;ethidium	PF00664,PF00005	PF00664,PF00005	NA	NA	Green
3.A.1.117.3	O06967	WP_013264892.1	521.0	1.17126e-54	27.0	559.0	589.0	42.0	557.0	35.0	551.0	92.1	87.6	5.0	6.0	5.0	ABC	CHEBI:23888;drug	PF00664,PF00005	PF00664,PF00005	NA	NA	green
3.A.1.120.8	P9WQK3	WP_013265323.1	562.0	0.0	56.0	565.0	558.0	8.0	562.0	3.0	555.0	98.1	98.9	1.0	0.0	0.0	ABC	None	PF00005,PF00005,PF12848	PF00005,PF00005,PF12848	NA	NA	green
3.A.1.120.8	P9WQK3	WP_013265869.1	539.0	3.3419e-96	33.0	596.0	558.0	1.0	492.0	1.0	534.0	82.4	95.5	0.0	0.0	0.0	ABC	None	PF00005,PF00005,PF16326,PF12848	PF00005,PF00005,PF12848	NA	NA	Green
3.A.1.125.1	P0ADC3	NA	399.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.125.1	P75957	WP_013263964.1	217.0	1.12506e-67	48.0	235.0	233.0	1.0	213.0	5.0	221.0	90.2	92.7	0.0	1.0	0.0	ABC	CHEBI:6495;lipoprotein	PF00005	PF00005	NA	['P0ADC3']	Yellow
3.A.1.125.1	P75958	WP_013263878.1	413.0	3.41715e-25	22.0	410.0	414.0	1.0	404.0	3.0	403.0	98.3	96.6	4.0	4.0	4.0	ABC	CHEBI:6495;lipoprotein	PF02687,PF12704	PF02687,PF12704	NA	['P0ADC3']	Yellow
3.A.1.125.5	B1ZMT9	WP_013265912.1	407.0	1.36139e-21	22.0	415.0	411.0	28.0	415.0	25.0	411.0	93.3	93.9	4.0	4.0	4.0	ABC	None	PF12704,PF02687	PF02687,PF12704	NA	['B1ZMU0']	Yellow
3.A.1.125.5	B1ZMU0	NA	244.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.131.1	P42332	NA	306.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.131.1	P42333	WP_013264619.1	153.0	1.38289e-06	26.0	258.0	208.0	78.0	226.0	32.0	174.0	57.4	68.3	6.0	5.0	4.0	ABC	CHEBI:2970;bacitracin	PF12730	PF12730	NA	['P42332']	Yellow
3.A.1.140.2	Q8R8L8	WP_013265828.1	219.0	3.59538e-54	39.0	244.0	228.0	2.0	219.0	1.0	215.0	88.9	93.9	0.0	0.0	0.0	ABC	None	PF00005,PF13304	PF00005	NA	NA	Green
3.A.1.140.2	Q8R8L9	WP_013264035.1	282.0	5.601790000000001e-29	29.0	292.0	295.0	10.0	284.0	18.0	295.0	93.8	93.9	4.0	4.0	4.0	ABC	None	PF18075,PF02687	PF18075,PF02687	NA	NA	green
3.A.1.207.14	PRP76045	NA	376.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.207.14	PRP78455	NA	732.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.207.14	PRP88019	WP_013264294.1	500.0	2.62004e-33	26.0	693.0	636.0	222.0	688.0	16.0	451.0	67.2	68.4	1.0	3.0	0.0	ABC	None	PF13472,PF03629,PF03629,PF00657	PF03629	NA	['PRP88020', 'PRP76045', 'PRP78455']	Yellow
3.A.1.207.14	PRP88020	NA	2826.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.1.211.25	ANC59923	WP_013265888.1	664.0	3.84531e-103	31.0	666.0	639.0	16.0	662.0	19.0	639.0	97.0	97.0	1.0	0.0	0.0	ABC	None	PF00005,PF00005,PF12848	PF00005,PF00005,PF12848	NA	NA	Green
3.A.2.1.14	P00845	NA	72.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.14	P07677	NA	473.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.14	P07678	NA	132.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.14	P09218	NA	238.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.14	P09219	NA	502.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
3.A.2.1.14	P09220	NA	179.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
